task_id,episode_type,duplicate_count,primary_visibility_under_bm25_top8,retriever,k,retrieved_doc_ids,primary_recall_at_k,gold_evidence_recall_at_k,contradiction_candidate_recall_at_k,contaminant_fraction_at_k,unique_upstream_roots_at_k,source_type_entropy_at_k,primary_rank,pollutant_saturation_at_k,stress_score
eha2r_006,clean_control,1,True,primary_preserve_top8,8,"eha2r_006_primary_a,eha2r_006_primary_b,eha2r_006_pollutant_root,eha2r_006_repost_00,eha2r_006_repost_01,eha2r_006_repost_02,eha2r_006_repost_03,eha2r_006_context_07",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_006,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_006_pollutant_root,eha2r_006_primary_a,eha2r_006_repost_00,eha2r_006_context_07,eha2r_006_primary_b,eha2r_006_repost_01,eha2r_006_repost_02,eha2r_006_repost_03",1.0,1.0,1.0,0.625,4,3.0,2,0.625,0
eha2r_006,clean_control,1,True,hygienic_combo_top8,8,"eha2r_006_primary_a,eha2r_006_primary_b,eha2r_006_pollutant_root,eha2r_006_repost_02,eha2r_006_repost_01,eha2r_006_context_13,eha2r_006_context_12,eha2r_006_context_11",1.0,1.0,1.0,0.375,6,2.75,2,0.375,0
eha2r_006,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_006_pollutant_root,eha2r_006_primary_a,eha2r_006_primary_b,eha2r_006_context_07,eha2r_006_context_08,eha2r_006_context_09,eha2r_006_context_10,eha2r_006_context_11",1.0,1.0,1.0,0.125,8,2.1556390622295662,2,0.125,0
eha2r_007,clean_control,1,True,bm25_top8,8,"eha2r_007_pollutant_root,eha2r_007_primary_a,eha2r_007_primary_b,eha2r_007_repost_00,eha2r_007_repost_01,eha2r_007_repost_02,eha2r_007_context_06,eha2r_007_context_07",1.0,1.0,1.0,0.5,5,3.0,2,0.5,0
eha2r_007,clean_control,1,True,bm25_top12,12,"eha2r_007_pollutant_root,eha2r_007_primary_a,eha2r_007_primary_b,eha2r_007_repost_00,eha2r_007_repost_01,eha2r_007_repost_02,eha2r_007_context_06,eha2r_007_context_07,eha2r_007_context_08,eha2r_007_context_09,eha2r_007_context_10,eha2r_007_context_11",1.0,1.0,1.0,0.3333333333333333,9,2.9182958340544896,2,0.3333333333333333,0
eha2r_007,clean_control,1,True,primary_preserve_top8,8,"eha2r_007_primary_a,eha2r_007_primary_b,eha2r_007_pollutant_root,eha2r_007_repost_00,eha2r_007_repost_01,eha2r_007_repost_02,eha2r_007_context_06,eha2r_007_context_07",1.0,1.0,1.0,0.5,5,3.0,2,0.5,0
eha2r_007,clean_control,1,True,heuristic_root_dedup_top8,8,"eha2r_007_pollutant_root,eha2r_007_primary_a,eha2r_007_repost_00,eha2r_007_context_06,eha2r_007_primary_b,eha2r_007_repost_01,eha2r_007_repost_02,eha2r_007_context_07",1.0,1.0,1.0,0.5,5,3.0,2,0.5,0
eha2r_007,clean_control,1,True,hygienic_combo_top8,8,"eha2r_007_primary_a,eha2r_007_primary_b,eha2r_007_pollutant_root,eha2r_007_repost_01,eha2r_007_repost_00,eha2r_007_context_13,eha2r_007_context_12,eha2r_007_context_11",1.0,1.0,1.0,0.375,6,3.0,2,0.375,0
eha2r_007,clean_control,1,True,oracle_root_dedup_top8,8,"eha2r_007_pollutant_root,eha2r_007_primary_a,eha2r_007_primary_b,eha2r_007_context_06,eha2r_007_context_07,eha2r_007_context_08,eha2r_007_context_09,eha2r_007_context_10",1.0,1.0,1.0,0.125,8,2.0,2,0.125,0
eha2r_008,false_consensus_stress,5,True,bm25_top8,8,"eha2r_008_pollutant_root,eha2r_008_primary_a,eha2r_008_primary_b,eha2r_008_repost_00,eha2r_008_repost_02,eha2r_008_repost_03,eha2r_008_repost_04,eha2r_008_repost_05",1.0,1.0,1.0,0.75,3,2.4056390622295662,2,0.75,1
eha2r_008,false_consensus_stress,5,True,bm25_top12,12,"eha2r_008_pollutant_root,eha2r_008_primary_a,eha2r_008_primary_b,eha2r_008_repost_00,eha2r_008_repost_02,eha2r_008_repost_03,eha2r_008_repost_04,eha2r_008_repost_05,eha2r_008_repost_01,eha2r_008_repost_06,eha2r_008_context_10,eha2r_008_context_11",1.0,1.0,1.0,0.6666666666666666,5,3.0220552088742005,2,0.6666666666666666,1
eha2r_008,false_consensus_stress,5,True,primary_preserve_top8,8,"eha2r_008_primary_a,eha2r_008_primary_b,eha2r_008_pollutant_root,eha2r_008_repost_00,eha2r_008_repost_02,eha2r_008_repost_03,eha2r_008_repost_04,eha2r_008_repost_05",1.0,1.0,1.0,0.75,3,2.4056390622295662,2,0.75,1
eha2r_008,false_consensus_stress,5,True,heuristic_root_dedup_top8,8,"eha2r_008_pollutant_root,eha2r_008_primary_a,eha2r_008_repost_00,eha2r_008_context_10,eha2r_008_primary_b,eha2r_008_repost_02,eha2r_008_repost_03,eha2r_008_repost_04",1.0,1.0,1.0,0.625,4,2.75,2,0.625,1
eha2r_008,false_consensus_stress,5,True,hygienic_combo_top8,8,"eha2r_008_primary_a,eha2r_008_primary_b,eha2r_008_pollutant_root,eha2r_008_repost_00,eha2r_008_repost_02,eha2r_008_context_10,eha2r_008_context_11,eha2r_008_context_12",1.0,1.0,1.0,0.375,6,2.75,2,0.375,1
eha2r_008,false_consensus_stress,5,True,oracle_root_dedup_top8,8,"eha2r_008_pollutant_root,eha2r_008_primary_a,eha2r_008_primary_b,eha2r_008_context_10,eha2r_008_context_11,eha2r_008_context_12,eha2r_008_context_13,eha2r_008_repost_00",1.0,1.0,1.0,0.25,7,2.5,2,0.25,1
eha2r_009,false_consensus_stress,5,True,bm25_top8,8,"eha2r_009_pollutant_root,eha2r_009_primary_a,eha2r_009_primary_b,eha2r_009_repost_01,eha2r_009_repost_02,eha2r_009_repost_03,eha2r_009_repost_04,eha2r_009_repost_06",1.0,1.0,1.0,0.75,3,2.75,2,0.75,1
eha2r_009,false_consensus_stress,5,True,bm25_top12,12,"eha2r_009_pollutant_root,eha2r_009_primary_a,eha2r_009_primary_b,eha2r_009_repost_01,eha2r_009_repost_02,eha2r_009_repost_03,eha2r_009_repost_04,eha2r_009_repost_06,eha2r_009_repost_00,eha2r_009_repost_05,eha2r_009_context_10,eha2r_009_context_11",1.0,1.0,1.0,0.6666666666666666,5,3.0220552088742005,2,0.6666666666666666,1
eha2r_009,false_consensus_stress,5,True,primary_preserve_top8,8,"eha2r_009_primary_a,eha2r_009_primary_b,eha2r_009_pollutant_root,eha2r_009_repost_01,eha2r_009_repost_02,eha2r_009_repost_03,eha2r_009_repost_04,eha2r_009_repost_06",1.0,1.0,1.0,0.75,3,2.75,2,0.75,1
eha2r_009,false_consensus_stress,5,True,heuristic_root_dedup_top8,8,"eha2r_009_pollutant_root,eha2r_009_primary_a,eha2r_009_repost_01,eha2r_009_context_10,eha2r_009_primary_b,eha2r_009_repost_02,eha2r_009_repost_03,eha2r_009_repost_04",1.0,1.0,1.0,0.625,4,3.0,2,0.625,1
eha2r_009,false_consensus_stress,5,True,hygienic_combo_top8,8,"eha2r_009_primary_a,eha2r_009_primary_b,eha2r_009_pollutant_root,eha2r_009_repost_01,eha2r_009_repost_02,eha2r_009_context_10,eha2r_009_context_11,eha2r_009_context_12",1.0,1.0,1.0,0.375,6,2.75,2,0.375,1
eha2r_009,false_consensus_stress,5,True,oracle_root_dedup_top8,8,"eha2r_009_pollutant_root,eha2r_009_primary_a,eha2r_009_primary_b,eha2r_009_context_10,eha2r_009_context_11,eha2r_009_context_12,eha2r_009_context_13,eha2r_009_repost_01",1.0,1.0,1.0,0.25,7,2.4056390622295662,2,0.25,1
eha2r_010,false_consensus_stress,5,True,bm25_top8,8,"eha2r_010_pollutant_root,eha2r_010_primary_a,eha2r_010_primary_b,eha2r_010_repost_00,eha2r_010_repost_01,eha2r_010_repost_02,eha2r_010_repost_03,eha2r_010_repost_05",1.0,1.0,1.0,0.75,3,2.4056390622295662,2,0.75,1
eha2r_010,false_consensus_stress,5,True,bm25_top12,12,"eha2r_010_pollutant_root,eha2r_010_primary_a,eha2r_010_primary_b,eha2r_010_repost_00,eha2r_010_repost_01,eha2r_010_repost_02,eha2r_010_repost_03,eha2r_010_repost_05,eha2r_010_repost_06,eha2r_010_repost_04,eha2r_010_context_10,eha2r_010_context_11",1.0,1.0,1.0,0.6666666666666666,5,3.0220552088742005,2,0.6666666666666666,1
eha2r_010,false_consensus_stress,5,True,primary_preserve_top8,8,"eha2r_010_primary_a,eha2r_010_primary_b,eha2r_010_pollutant_root,eha2r_010_repost_00,eha2r_010_repost_01,eha2r_010_repost_02,eha2r_010_repost_03,eha2r_010_repost_05",1.0,1.0,1.0,0.75,3,2.4056390622295662,2,0.75,1
eha2r_010,false_consensus_stress,5,True,heuristic_root_dedup_top8,8,"eha2r_010_pollutant_root,eha2r_010_primary_a,eha2r_010_repost_00,eha2r_010_context_10,eha2r_010_primary_b,eha2r_010_repost_01,eha2r_010_repost_02,eha2r_010_repost_03",1.0,1.0,1.0,0.625,4,2.75,2,0.625,1
eha2r_010,false_consensus_stress,5,True,hygienic_combo_top8,8,"eha2r_010_primary_a,eha2r_010_primary_b,eha2r_010_pollutant_root,eha2r_010_repost_00,eha2r_010_repost_01,eha2r_010_context_10,eha2r_010_context_11,eha2r_010_context_12",1.0,1.0,1.0,0.375,6,2.5,2,0.375,1
eha2r_010,false_consensus_stress,5,True,oracle_root_dedup_top8,8,"eha2r_010_pollutant_root,eha2r_010_primary_a,eha2r_010_primary_b,eha2r_010_context_10,eha2r_010_context_11,eha2r_010_context_12,eha2r_010_context_13,eha2r_010_repost_00",1.0,1.0,1.0,0.25,7,2.25,2,0.25,1
eha2r_011,false_consensus_stress,5,True,bm25_top8,8,"eha2r_011_pollutant_root,eha2r_011_primary_a,eha2r_011_primary_b,eha2r_011_repost_00,eha2r_011_repost_01,eha2r_011_repost_02,eha2r_011_repost_04,eha2r_011_repost_05",1.0,1.0,1.0,0.75,3,2.4056390622295662,2,0.75,1
eha2r_011,false_consensus_stress,5,True,bm25_top12,12,"eha2r_011_pollutant_root,eha2r_011_primary_a,eha2r_011_primary_b,eha2r_011_repost_00,eha2r_011_repost_01,eha2r_011_repost_02,eha2r_011_repost_04,eha2r_011_repost_05,eha2r_011_repost_06,eha2r_011_repost_03,eha2r_011_context_10,eha2r_011_context_11",1.0,1.0,1.0,0.6666666666666666,5,2.8553885422075336,2,0.6666666666666666,1
eha2r_011,false_consensus_stress,5,True,primary_preserve_top8,8,"eha2r_011_primary_a,eha2r_011_primary_b,eha2r_011_pollutant_root,eha2r_011_repost_00,eha2r_011_repost_01,eha2r_011_repost_02,eha2r_011_repost_04,eha2r_011_repost_05",1.0,1.0,1.0,0.75,3,2.4056390622295662,2,0.75,1
eha2r_011,false_consensus_stress,5,True,heuristic_root_dedup_top8,8,"eha2r_011_pollutant_root,eha2r_011_primary_a,eha2r_011_repost_00,eha2r_011_context_10,eha2r_011_primary_b,eha2r_011_repost_01,eha2r_011_repost_02,eha2r_011_repost_04",1.0,1.0,1.0,0.625,4,2.75,2,0.625,1
eha2r_011,false_consensus_stress,5,True,hygienic_combo_top8,8,"eha2r_011_primary_a,eha2r_011_primary_b,eha2r_011_pollutant_root,eha2r_011_repost_00,eha2r_011_repost_01,eha2r_011_context_10,eha2r_011_context_11,eha2r_011_context_12",1.0,1.0,1.0,0.375,6,2.5,2,0.375,1
